names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
ZNF846.1,-0.411896444,-0.614570698,-0.970873106,-1.882396608,-0.07237021,-0.014676827,-0.493633971
ZNF85,1.390512859,1.49851397,1.376363938,1.63579927,0.079268231,-0.031904268,0.235282621
ZNF850,1.697698395,1.508564994,1.61523248,2.311777088,-0.148793367,0.02910405,0.648144219
ZNF852,-0.718865796,-0.605549627,-0.531483896,-0.162816988,0.075746977,0.012867052,0.309044309
ZNF853,-0.91456011,-1.051032251,-1.367826557,-1.692203693,-0.101538967,-0.082702676,-0.290956578
ZNF860,1.171314433,2.753065406,2.49274803,2.65473839,0.37541962,0,0.055916441
ZNF862,-3.161803683,-3.461358066,-2.970520127,-2.066926852,-0.253605533,0.245865096,0.862963298
ZNF865,-0.293146517,-0.264369582,-0.551128187,-0.03820894,0.026364621,-0.142504927,0.493775705
ZNF875,-1.032910186,-1.445972618,-1.267321706,-0.777279389,-0.371812465,0.08141092,0.469796351
ZNF876P,-0.415989386,-0.341197355,-0.540842726,-0.013555129,0.027720212,-0.006256627,0.250189862
ZNF878,1.064615396,1.049754913,1.439955541,0.69715986,-0.013208851,0.023661659,-0.454697842
ZNF879,0.550250493,-0.890968438,-0.864018431,-1.007280711,-1.275391255,0.00273697,-0.114351002
ZNF880,-0.540111813,-1.421494407,-1.316216855,-1.247004572,-0.666677612,0.013219552,0.043282737
ZNF883,0.17586724,-0.6663852,0.222780754,0.03467518,-0.523460832,0.08944506,-0.131256382
ZNF888,-0.302295521,-0.723636555,-0.568069787,-0.412908862,-0.268312055,0.021339146,0.116673685
ZNF891,-0.521798432,-0.831930638,-0.727347387,-0.847785966,-0.180777001,0.012578481,-0.099946704
ZNF90,1.817386188,2.212723458,2.190555671,2.357854834,0.273915318,-0.004248419,0.145584517
ZNF91,0.066601039,-0.086624812,-0.085355006,-0.423361172,-0.117869488,0.000343112,-0.306739464
ZNF92,-1.31692767,-1.552469201,-1.838558658,-0.929765429,-0.203573866,-0.126336482,0.873637094
