names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
DNASE2,1.66E-12,3.48E-15,4.34E-16,4.23E-29,0.556076014,0.95768409,0.004835416
DND1,0.281554896,0.817463579,0.549110007,0.131216128,0.265170841,0.79468511,0.458653144
DNHD1,1.55E-16,1.40E-19,9.62E-17,3.82E-05,0.575508692,0.845767553,0.000145283
DNLZ,3.27E-06,0.599402283,0.957972307,1.71E-06,0.000186823,0.875394734,7.15E-06
DNM1,0.001939558,0.220249438,0.001593438,0.360518571,0.114019971,0.400785878,0.043294814
DNM1L,3.68E-09,1.91E-09,1.00E-07,0.000461535,0.94977184,0.86563587,0.125634441
DNM1P46,2.63E-06,0.069995156,0.340686496,0.14400613,0.011237146,0.803674564,0.70124749
DNM2,2.15E-07,9.01E-07,2.78E-09,0.05874517,0.859409463,0.774502772,0.000229714
DNM3,7.83E-06,1.58E-07,8.55E-06,0.125915183,0.560796634,0.821592577,0.008395775
DNMBP,3.99E-06,0.00077645,0.008229187,0.345615258,0.337898209,0.849863327,0.000554742
DNMT1,3.85E-34,8.96E-75,4.83E-78,5.23E-62,1.88E-08,0.933665991,0.079322673
DNMT3A,0.000313511,0.000252659,3.99E-06,1.63E-10,0.980590748,0.792174359,0.135074643
DNMT3B,0.003235294,1.61E-06,1.67E-05,7.51E-07,5.30E-14,0.910379298,0.614464748
DNPEP,1.15E-69,7.94E-42,1.03E-34,0.007366262,0.000229057,0.686443614,2.04E-20
DNPH1,3.88E-13,1.10E-21,6.41E-23,1.56E-20,0.057299336,0.952463798,0.689003305
DNTT,7.07E-06,0.003686467,0.060289733,0.249839129,0.088272678,0,0.55904788
DNTTIP1,1.23E-23,8.82E-28,2.65E-23,2.80E-20,0.500567201,0.776979194,0.584584886
DNTTIP2,0.070145261,0.061821101,2.52E-06,5.41E-29,0.980027693,0.157869249,1.41E-09
DOC2A,4.73E-07,3.91E-10,7.18E-10,1.66E-09,0.030232369,0.968561011,0.852924171
DOC2B,0.070372205,0.882655993,0.213751064,0.59565107,0.087621602,0,0.566715397
DOCK1,0.41209646,1.96E-07,8.43E-10,2.10E-05,1.44E-06,0.62374953,0.013008617
DOCK10,0.624431186,5.60E-10,3.36E-06,0.892347223,1.35E-07,0.582066341,5.76E-06
DOCK11,1.54E-52,1.13E-40,8.50E-32,2.06E-14,0.128150869,0.55363438,0.000218682
DOCK2,3.81E-19,0.150887823,0.075299646,0.626569113,1.52E-12,0.943164157,0.035154397
DOCK3,3.28E-14,1.66E-05,1.05E-05,0.061071206,0.00371975,0.981814602,5.27E-10
